timestamp,apiType,route,model,inputTokens,outputTokens,totalTokens,responseTime,statusCode,isStream
2026-04-11T10:56:42.213Z,anthropic,/messages,MiniMax-M2.5,62114,54,62168,13331,200,false
2026-04-11T10:57:10.411Z,anthropic,/messages,MiniMax-M2.5,62167,90,62257,13995,200,false
2026-04-11T10:57:57.544Z,anthropic,/messages,MiniMax-M2.5,62498,443,62941,20539,200,false
2026-04-11T11:08:36.464Z,anthropic,/messages,MiniMax-M2.5,311,87,398,5776,200,false
2026-04-11T11:08:38.430Z,anthropic,/messages,MiniMax-M2.5,23778,78,23856,2050,200,false
2026-04-11T11:08:39.544Z,anthropic,/messages,MiniMax-M2.5,248,146,394,3547,200,false
2026-04-11T11:08:54.350Z,anthropic,/messages,MiniMax-M2.5,26184,374,26558,7389,200,false
2026-04-11T11:09:06.730Z,anthropic,/messages,MiniMax-M2.5,26563,308,26871,6176,200,false
2026-04-11T11:09:10.710Z,anthropic,/messages,MiniMax-M2.5,26919,84,27003,2042,200,false
2026-04-11T11:09:14.336Z,anthropic,/messages,MiniMax-M2.5,27054,66,27120,1835,200,false
2026-04-11T11:09:18.450Z,anthropic,/messages,MiniMax-M2.5,27167,57,27224,1968,200,false
2026-04-11T11:09:31.096Z,anthropic,/messages,MiniMax-M2.5,29539,289,29828,5990,200,false
2026-04-11T11:09:36.986Z,anthropic,/messages,MiniMax-M2.5,29882,98,29980,2589,200,false
2026-04-11T11:09:43.173Z,anthropic,/messages,MiniMax-M2.5,2587,256,2843,6136,200,false
2026-04-11T11:09:56.485Z,anthropic,/messages,MiniMax-M2.5,32257,401,32658,7904,200,false
2026-04-11T11:10:32.178Z,anthropic,/messages,MiniMax-M2.5,29974,37,30011,1416,200,false
2026-04-11T11:10:38.415Z,anthropic,/messages,MiniMax-M2.5,2580,256,2836,6205,200,false
2026-04-11T11:10:53.808Z,anthropic,/messages,MiniMax-M2.5,32277,617,32894,12768,200,false
2026-04-11T11:11:33.578Z,anthropic,/messages,MiniMax-M2.5,29999,168,30167,3519,200,false
2026-04-11T11:11:47.567Z,anthropic,/messages,MiniMax-M2.5,32951,215,33166,4428,200,false
2026-04-11T11:12:03.577Z,anthropic,/messages,MiniMax-M2.5,33093,114,33207,2718,200,false
2026-04-11T11:12:14.106Z,anthropic,/messages,MiniMax-M2.5,33251,46,33297,1299,200,false
2026-04-11T11:12:23.367Z,anthropic,/messages,MiniMax-M2.5,33499,79,33578,1886,200,false
2026-04-11T11:12:29.721Z,anthropic,/messages,MiniMax-M2.5,2587,256,2843,6306,200,false
2026-04-11T11:12:42.837Z,anthropic,/messages,MiniMax-M2.5,35856,448,36304,8788,200,false
2026-04-11T11:13:14.498Z,anthropic,/messages,MiniMax-M2.5,312,155,467,3523,200,false
2026-04-11T11:13:15.444Z,anthropic,/messages,MiniMax-M2.5,33581,74,33655,2089,200,false
